Year,Units,Регион,Город,Value
2015,процентах,,,42.98
2016,процентах,,,46.35
2017,процентах,,,47.38
2018,процентах,,,49.68
2016,процентах,,,95.3
2011,процентах,,,9.104880831682053
2012,процентах,,,8.376536157036131
2013,процентах,,,8.11190474163471
2014,процентах,,,8.693493734842917
2015,процентах,,,10.3083328825092
2016,процентах,,,12.7
2017,процентах,,,11.3
2014,процентах,Акмолинская,,0.20939645103464646
2015,процентах,Акмолинская,,9.661538830685435
2016,процентах,Акмолинская,,17.317364266420984
2017,процентах,Акмолинская,,19.3
2011,процентах,Алматинская,,34.51437542944687
2012,процентах,Алматинская,,33.87562905855201
2013,процентах,Алматинская,,26.913021259058368
2014,процентах,Алматинская,,55.577006219088545
2015,процентах,Алматинская,,58.705594963557516
2016,процентах,Алматинская,,72.17020323633585
2017,процентах,Алматинская,,71.1
2011,процентах,Восточно-Казахстанская,,74.77996517456992
2012,процентах,Восточно-Казахстанская,,74.196245532065
2013,процентах,Восточно-Казахстанская,,73.49094972414917
2014,процентах,Восточно-Казахстанская,,75.26710775171071
2015,процентах,Восточно-Казахстанская,,75.88120353747678
2016,процентах,Восточно-Казахстанская,,79.34596121007488
2017,процентах,Восточно-Казахстанская,,75.7
2011,процентах,Жамбылская,,1.5471146227196866
2012,процентах,Жамбылская,,1.1654489035584796
2013,процентах,Жамбылская,,1.5038326784100977
2014,процентах,Жамбылская,,1.5870957110640762
2015,процентах,Жамбылская,,4.44367003522054
2016,процентах,Жамбылская,,9.186065264509818
2017,процентах,Жамбылская,,10.1
2015,процентах,Кызылординская,,0.05633559216662897
2016,процентах,Кызылординская,,0.08962670328078033
2017,процентах,Кызылординская,,0.1
2011,процентах,Северо-Казахстанская,,0.5594642216101879
2012,процентах,Северо-Казахстанская,,0.6565455952920362
2013,процентах,Северо-Казахстанская,,0.7042039690296581
2014,процентах,Северо-Казахстанская,,0.6866570833653451
2015,процентах,Северо-Казахстанская,,0.745414869996707
2016,процентах,Северо-Казахстанская,,0.6617198833222652
2017,процентах,Северо-Казахстанская,,0.6
2011,процентах,Южно-Казахстанская,,37.002353872525326
2012,процентах,Южно-Казахстанская,,29.09221043661668
2013,процентах,Южно-Казахстанская,,27.470372101640912
2014,процентах,Южно-Казахстанская,,29.594635603085557
2015,процентах,Южно-Казахстанская,,51.67138798558237
2016,процентах,Южно-Казахстанская,,35.373144711564045
2017,процентах,Южно-Казахстанская,,62.5
2012,процентах,,,0.06038994916008932
2013,процентах,,,0.06690569022228471
2014,процентах,,,5.008976207132633
2015,процентах,,,5.841369233662536
2016,процентах,,,6.5780426904686085
2017,процентах,,,6.2
2010,процентах,,,1.85
2011,процентах,,,1.78
2012,процентах,,,1.62
2013,процентах,,,1.69
2014,процентах,,,1.52
2015,процентах,,,1.53
2016,процентах,,,1.54
2017,процентах,,,1.53
2011,процентах,Акмолинская,,0.8344817026489053
2012,процентах,Акмолинская,,0.51
2013,процентах,Акмолинская,,0.67
2014,процентах,Акмолинская,,0.62
2015,процентах,Акмолинская,,0.39
2016,процентах,Акмолинская,,0.45
2017,процентах,Акмолинская,,0.43
2011,процентах,,,2.626552053486151
2012,процентах,,,2.31
2013,процентах,,,3.55
2014,процентах,,,3.36
2015,процентах,,,3.43
2016,процентах,,,3.41
2017,процентах,,,3.69
2011,процентах,,,0.16979530232996887
2012,процентах,,,0.2
2013,процентах,,,0.21
2014,процентах,,,0.2
2015,процентах,,,0.13
2016,процентах,,,0.14
2017,процентах,,,0.15
2011,процентах,,,1.9189486849228123
2012,процентах,,,1.92
2013,процентах,,,1.53
2014,процентах,,,1.43
2015,процентах,,,1.42
2016,процентах,,,1.46
2017,процентах,,,1.4
2011,процентах,Западно-Казахстанская,,3.280416718343049
2012,процентах,Западно-Казахстанская,,4.08
2013,процентах,Западно-Казахстанская,,5.15
2014,процентах,Западно-Казахстанская,,4.72
2015,процентах,Западно-Казахстанская,,5.46
2016,процентах,Западно-Казахстанская,,5.68
2017,процентах,Западно-Казахстанская,,5.54
2011,процентах,,,1.0039740640033465
2012,процентах,,,0.31
2013,процентах,,,1.0
2014,процентах,,,0.24
2015,процентах,,,0.37
2016,процентах,,,0.24
2017,процентах,,,0.22
2011,процентах,,,4.535781955983093
2012,процентах,,,3.77
2013,процентах,,,3.54
2014,процентах,,,3.06
2015,процентах,,,2.7
2016,процентах,,,2.69
2017,процентах,,,2.84
2011,процентах,,,0.040605014719317836
2012,процентах,,,0.03
2013,процентах,,,0.01
2014,процентах,,,0.01
2015,процентах,,,0.05
2016,процентах,,,0.02
2017,процентах,,,0.01
2011,процентах,,,6.545696370891127
2012,процентах,,,5.69
2013,процентах,,,5.08
2014,процентах,,,5.0
2015,процентах,,,5.4
2016,процентах,,,5.96
2017,процентах,,,5.96
2011,процентах,,,2.6546597251536044
2012,процентах,,,2.79
2013,процентах,,,4.07
2014,процентах,,,3.96
2015,процентах,,,4.14
2016,процентах,,,4.15
2017,процентах,,,4.61
2011,процентах,,,0.11535450912536564
2012,процентах,,,0.11
2013,процентах,,,0.47
2014,процентах,,,0.49
2015,процентах,,,0.71
2016,процентах,,,0.7
2017,процентах,,,0.68
2011,процентах,,,7.39402021336328
2012,процентах,,,6.58
2013,процентах,,,6.49
2014,процентах,,,5.94
2015,процентах,,,6.22
2016,процентах,,,6.31
2017,процентах,,,6.1
2011,процентах,Северо-Казахстанская,,0.28517957401301136
2012,процентах,Северо-Казахстанская,,0.37
2013,процентах,Северо-Казахстанская,,0.54
2014,процентах,Северо-Казахстанская,,0.5
2015,процентах,Северо-Казахстанская,,0.42
2016,процентах,Северо-Казахстанская,,0.22
2017,процентах,Северо-Казахстанская,,0.3
2011,процентах,,,0.96
2012,процентах,,,0.88
2013,процентах,,,0.82
2014,процентах,,,0.68
2015,процентах,,,0.8
2016,процентах,,,0.84
2017,процентах,,,0.83
2011,процентах,,г. Астана,0.05807023442036737
2012,процентах,,г. Астана,0.04
2013,процентах,,г. Астана,0.2
2014,процентах,,г. Астана,0.19
2015,процентах,,г. Астана,0.1
2016,процентах,,г. Астана,0.09
2017,процентах,,г. Астана,0.1
2011,процентах,,г. Алматы,0.2291160702011639
2012,процентах,,г. Алматы,0.14
2013,процентах,,г. Алматы,0.12
2014,процентах,,г. Алматы,0.13
2015,процентах,,г. Алматы,0.12
2016,процентах,,г. Алматы,0.11
2017,процентах,,г. Алматы,0.12
