Year,Observation status,Unit measure,Unit multiplier,Value
2007,Normal value,Percent,Units,98.436866
2008,Normal value,Percent,Units,98.483992
2009,Normal value,Percent,Units,98.495642
2010,Normal value,Percent,Units,98.309687
2011,Normal value,Percent,Units,98.622407
2012,Normal value,Percent,Units,98.838817
2013,Normal value,Percent,Units,98.985022
2014,Normal value,Percent,Units,99.176724
2015,Normal value,Percent,Units,99.230049
2016,Normal value,Percent,Units,99.185581
2017,Normal value,Percent,Units,99.3
2018,Normal value,Percent,Units,99.8
2007,Normal value,Percent,Units,97.74409
2008,Normal value,Percent,Units,97.474925
2009,Normal value,Percent,Units,98.874508
2010,Normal value,Percent,Units,96.861772
2011,Normal value,Percent,Units,97.13801
2012,Normal value,Percent,Units,98.465778
2013,Normal value,Percent,Units,99.080933
2014,Normal value,Percent,Units,99.356181
2015,Normal value,Percent,Units,99.261631
2016,Normal value,Percent,Units,98.979592
2017,Normal value,Percent,Units,99.2
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,98.959241
2008,Normal value,Percent,Units,98.575021
2009,Normal value,Percent,Units,98.923445
2010,Normal value,Percent,Units,98.940709
2011,Normal value,Percent,Units,99.115744
2012,Normal value,Percent,Units,99.045346
2013,Normal value,Percent,Units,99.080837
2014,Normal value,Percent,Units,99.16137
2015,Normal value,Percent,Units,99.299119
2016,Normal value,Percent,Units,99.265036
2017,Normal value,Percent,Units,99.4
2018,Normal value,Percent,Units,98.9
2007,Normal value,Percent,Units,99.294245
2008,Normal value,Percent,Units,99.008513
2009,Normal value,Percent,Units,99.274602
2010,Normal value,Percent,Units,99.414531
2011,Normal value,Percent,Units,99.463221
2012,Normal value,Percent,Units,99.435996
2013,Normal value,Percent,Units,99.427262
2014,Normal value,Percent,Units,99.451005
2015,Normal value,Percent,Units,99.391542
2016,Normal value,Percent,Units,99.422551
2017,Normal value,Percent,Units,99.5
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,97.720601
2008,Normal value,Percent,Units,98.116039
2009,Normal value,Percent,Units,98.275296
2010,Normal value,Percent,Units,97.822417
2011,Normal value,Percent,Units,98.680426
2012,Normal value,Percent,Units,98.696845
2013,Normal value,Percent,Units,98.717291
2014,Normal value,Percent,Units,98.817416
2015,Normal value,Percent,Units,98.774112
2016,Normal value,Percent,Units,98.787433
2017,Normal value,Percent,Units,99
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,96.877363
2008,Normal value,Percent,Units,97.394325
2009,Normal value,Percent,Units,96.451545
2010,Normal value,Percent,Units,96.52909
2011,Normal value,Percent,Units,97.299639
2012,Normal value,Percent,Units,97.817694
2013,Normal value,Percent,Units,98.222659
2014,Normal value,Percent,Units,98.874035
2015,Normal value,Percent,Units,99.087129
2016,Normal value,Percent,Units,99.070282
2017,Normal value,Percent,Units,99.1
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,99.285714
2008,Normal value,Percent,Units,99.252883
2009,Normal value,Percent,Units,99.270189
2010,Normal value,Percent,Units,99.485821
2011,Normal value,Percent,Units,99.688576
2012,Normal value,Percent,Units,99.660672
2013,Normal value,Percent,Units,99.694501
2014,Normal value,Percent,Units,99.680296
2015,Normal value,Percent,Units,99.729775
2016,Normal value,Percent,Units,99.713877
2017,Normal value,Percent,Units,99.5
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,99.023641
2008,Normal value,Percent,Units,99.18247
2009,Normal value,Percent,Units,99.161879
2010,Normal value,Percent,Units,99.199707
2011,Normal value,Percent,Units,99.107284
2012,Normal value,Percent,Units,99.152542
2013,Normal value,Percent,Units,99.134263
2014,Normal value,Percent,Units,99.23354
2015,Normal value,Percent,Units,99.163311
2016,Normal value,Percent,Units,99.176269
2017,Normal value,Percent,Units,99.2
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,99.435435
2008,Normal value,Percent,Units,99.586624
2009,Normal value,Percent,Units,99.621193
2010,Normal value,Percent,Units,99.598067
2011,Normal value,Percent,Units,99.46062
2012,Normal value,Percent,Units,99.614421
2013,Normal value,Percent,Units,99.611183
2014,Normal value,Percent,Units,99.609444
2015,Normal value,Percent,Units,99.494367
2016,Normal value,Percent,Units,99.479551
2017,Normal value,Percent,Units,99.5
2018,Normal value,Percent,Units,100
2007,Normal value,Percent,Units,98.916283
2008,Normal value,Percent,Units,98.982971
2009,Normal value,Percent,Units,98.918685
2010,Normal value,Percent,Units,97.390903
2011,Normal value,Percent,Units,99.342208
2012,Normal value,Percent,Units,98.973247
2013,Normal value,Percent,Units,99.300699
2014,Normal value,Percent,Units,99.388163
2015,Normal value,Percent,Units,99.258076
2016,Normal value,Percent,Units,99.319952
2017,Normal value,Percent,Units,99.5
2018,Normal value,Percent,Units,100
