Year,Units,Регионы,GeoCode,Value
2010,процент,,,109.1
2011,процент,,,112.1
2012,процент,,,102.8
2013,процент,,,102.1
2014,процент,,,103.8
2015,процент,,,97.3
2016,процент,,,99.0
2017,процент,,,103.6
2018,процент,,,101.4
2011,процент,Акмолинская,KZ03,111.5
2012,процент,Акмолинская,KZ03,103.7
2013,процент,Акмолинская,KZ03,97.6
2014,процент,Акмолинская,KZ03,113.2
2015,процент,Акмолинская,KZ03,107.8
2016,процент,Акмолинская,KZ03,98.4
2017,процент,Акмолинская,KZ03,102.0
2018,процент,Акмолинская,KZ03,104.8
2011,процент,Актюбинская,KZ04,107.7
2012,процент,Актюбинская,KZ04,100.0
2013,процент,Актюбинская,KZ04,101.9
2014,процент,Актюбинская,KZ04,93.0
2015,процент,Актюбинская,KZ04,99.7
2016,процент,Актюбинская,KZ04,101.4
2017,процент,Актюбинская,KZ04,108.7
2018,процент,Актюбинская,KZ04,109.5
2011,процент,Алматинская,KZ01,124.8
2012,процент,Алматинская,KZ01,100.0
2013,процент,Алматинская,KZ01,104.5
2014,процент,Алматинская,KZ01,87.1
2015,процент,Алматинская,KZ01,97.2
2016,процент,Алматинская,KZ01,93.7
2017,процент,Алматинская,KZ01,84.8
2018,процент,Алматинская,KZ01,88.0
2011,процент,Атырауская,KZ06,99.1
2012,процент,Атырауская,KZ06,63.5
2013,процент,Атырауская,KZ06,93.1
2014,процент,Атырауская,KZ06,159.2
2015,процент,Атырауская,KZ06,70.8
2016,процент,Атырауская,KZ06,125.3
2017,процент,Атырауская,KZ06,111.7
2018,процент,Атырауская,KZ06,106.9
2011,процент,Западно-Казахстанская,KZ07,100.0
2012,процент,Западно-Казахстанская,KZ07,98.0
2013,процент,Западно-Казахстанская,KZ07,108.3
2014,процент,Западно-Казахстанская,KZ07,89.2
2015,процент,Западно-Казахстанская,KZ07,76.4
2016,процент,Западно-Казахстанская,KZ07,87.3
2017,процент,Западно-Казахстанская,KZ07,104.8
2018,процент,Западно-Казахстанская,KZ07,110.1
2011,процент,Жамбылская,KZ17,127.3
2012,процент,Жамбылская,KZ17,94.3
2013,процент,Жамбылская,KZ17,139.5
2014,процент,Жамбылская,KZ17,116.4
2015,процент,Жамбылская,KZ17,89.3
2016,процент,Жамбылская,KZ17,90.3
2017,процент,Жамбылская,KZ17,78.1
2018,процент,Жамбылская,KZ17,97.8
2011,процент,Карагандинская,KZ12,110.0
2012,процент,Карагандинская,KZ12,100.0
2013,процент,Карагандинская,KZ12,102.8
