Year,Units,Расходы бюджета,Value
2010,процент,,109.56411103244758
2011,процент,,110.41075688312823
2012,процент,,105.19417128627535
2013,процент,,96.30522151258786
2014,процент,,105.26528073379808
2015,процент,,91.19186018612183
2016,процент,,110.87921169858481
2017,процент,,130.31106794540523
2018,процент,,104.5
2010,процент,Государственные услуги общего характера,109.14965550200873
2011,процент,Государственные услуги общего характера,126.72191273348092
2012,процент,Государственные услуги общего характера,106.69647560101761
2013,процент,Государственные услуги общего характера,99.91423425219993
2014,процент,Государственные услуги общего характера,116.86399539403124
2015,процент,Государственные услуги общего характера,149.36416946104993
2016,процент,Государственные услуги общего характера,129.51174883647883
2017,процент,Государственные услуги общего характера,109.27343816073243
2018,процент,Государственные услуги общего характера,114.07686748153158
2010,процент,Оборона,107.66270845912074
2011,процент,Оборона,106.03780604906761
2012,процент,Оборона,102.15904712501438
2013,процент,Оборона,99.87561912952826
2014,процент,Оборона,95.69061182789646
2015,процент,Оборона,98.37063502597032
2016,процент,Оборона,106.4580906574626
2017,процент,Оборона,104.64070433236039
2018,процент,Оборона,99.54040852997056
2010,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",107.41001686204119
2011,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",101.74812578055892
2012,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",104.05494122077872
2013,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",96.24809842731253
2014,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",97.20939346157442
2015,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",89.3013902118722
2016,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",108.58665291822042
2017,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",113.86273104313118
2018,процент,"Общественный порядок, безопастность, провавая, судебная, уголовно-исполнительская деятельность",120.08708197519734
