Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 100 000 населения,,,,,,,,7.119281415759173
2011,на 100 000 населения,,,,,,,,5.943033487362992
2012,на 100 000 населения,,,,,,,,5.806305576393743
2013,на 100 000 населения,,,,,,,,4.596270739717825
2014,на 100 000 населения,,,,,,,,4.315060747783831
2015,на 100 000 населения,,,,,,,,3.710922870605762
2016,на 100 000 населения,,,,,,,,3.0965398274873266
2017,на 100 000 населения,,,,,,,,2.8884035089722904
2018,на 100 000 населения,,,,,,,,2.77
2010,на 100 000 населения,Акмолинская,,,,,,KZ03,11.304698396094839
2011,на 100 000 населения,Акмолинская,,,,,,KZ03,10.377693421088567
2012,на 100 000 населения,Акмолинская,,,,,,KZ03,8.468973505772562
2013,на 100 000 населения,Акмолинская,,,,,,KZ03,6.265408136858307
2014,на 100 000 населения,Акмолинская,,,,,,KZ03,8.01536776952693
2015,на 100 000 населения,Акмолинская,,,,,,KZ03,7.967697065456657
2016,на 100 000 населения,Акмолинская,,,,,,KZ03,6.897540418234392
2017,на 100 000 населения,Акмолинская,,,,,,KZ03,6.1100625941967985
2018,на 100 000 населения,Акмолинская,,,,,,KZ03,6.36
2010,на 100 000 населения,Актюбинская,,,,,,KZ04,4.152899372652638
2011,на 100 000 населения,Актюбинская,,,,,,KZ04,2.6856074460384733
2012,на 100 000 населения,Актюбинская,,,,,,KZ04,3.918445767446564
2013,на 100 000 населения,Актюбинская,,,,,,KZ04,3.2401660958989464
2014,на 100 000 населения,Актюбинская,,,,,,KZ04,2.451668421652645
2015,на 100 000 населения,Актюбинская,,,,,,KZ04,2.2927974784054683
2016,на 100 000 населения,Актюбинская,,,,,,KZ04,1.9042087774503595
2017,на 100 000 населения,Актюбинская,,,,,,KZ04,2.4657292981477674
2018,на 100 000 населения,Актюбинская,,,,,,KZ04,2.08
2010,на 100 000 населения,Алматинская,,,,,,KZ01,6.956041591736437
2011,на 100 000 населения,Алматинская,,,,,,KZ01,5.553160938537086
2012,на 100 000 населения,Алматинская,,,,,,KZ01,5.913451962021115
2013,на 100 000 населения,Алматинская,,,,,,KZ01,4.171537700017602
2014,на 100 000 населения,Алматинская,,,,,,KZ01,3.6914083734289393
2015,на 100 000 населения,Алматинская,,,,,,KZ01,5.530516043665234
2016,на 100 000 населения,Алматинская,,,,,,KZ01,4.019317143456043
2017,на 100 000 населения,Алматинская,,,,,,KZ01,3.848938655165838
2018,на 100 000 населения,Алматинская,,,,,,KZ01,3.45
2010,на 100 000 населения,Атырауская,,,,,,KZ06,2.6590188220546622
2011,на 100 000 населения,Атырауская,,,,,,KZ06,4.837245300430141
2012,на 100 000 населения,Атырауская,,,,,,KZ06,3.09609364044154
2013,на 100 000 населения,Атырауская,,,,,,KZ06,2.315165222656563
2014,на 100 000 населения,Атырауская,,,,,,KZ06,3.654652720975968
2015,на 100 000 населения,Атырауская,,,,,,KZ06,0.8504124500382685
2016,на 100 000 населения,Атырауская,,,,,,KZ06,1.3310705134604506
2017,на 100 000 населения,Атырауская,,,,,,KZ06,0.9771358357239234
2018,на 100 000 населения,Атырауская,,,,,,KZ06,0.8
2010,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,6.599614582508383
2011,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,6.061023035163762
2012,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,4.389116292074556
2013,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,3.7042405501602484
2014,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,4.146267561835201
2015,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,2.8412768066574268
2016,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,2.190080188221749
2017,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,1.8628608419665291
2018,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,3.54
2010,на 100 000 населения,Жамбылская,,,,,,KZ17,3.940890487459317
2011,на 100 000 населения,Жамбылская,,,,,,KZ17,5.4231947183792055
2012,на 100 000 населения,Жамбылская,,,,,,KZ17,5.739534288542384
2013,на 100 000 населения,Жамбылская,,,,,,KZ17,7.334665952387805
2014,на 100 000 населения,Жамбылская,,,,,,KZ17,3.75654302753546
2015,на 100 000 населения,Жамбылская,,,,,,KZ17,1.8105790322274016
2016,на 100 000 населения,Жамбылская,,,,,,KZ17,1.7070549887334372
