Year,Units,Value
2016,процент,20.3
2017,процент,15.9
2018,процент,5.7
2011,процент,7.09
2012,процент,4.17
2013,процент,1.45
2014,процент,3.67
2015,процент,1.52
2016,процент,3.76
2017,процент,3.12
2018,процент,1.22
2011,процент,15.03
2012,процент,13.74
2013,процент,13.89
2014,процент,10.18
2015,процент,10.75
2016,процент,8.33
2017,процент,15.56
2018,процент,12.87
2014,процент,23725.532844273202
2015,процент,15169.501879678994
2016,процент,21046.413407961463
2017,процент,20899.48552877959
2014,процент,-13.19906
2015,процент,15.626779999999997
2016,процент,253.38455
2017,процент,74.99448
2014,процент,1418.9309
2015,процент,367.97854
2016,процент,1200.97734
2017,процент,1997.8833300000001
2014,процент,235.3059
2015,процент,131.19776
2016,процент,99.92902000000001
2017,процент,175.539
2014,процент,9135.67141357933
2015,процент,6820.981067740854
2016,процент,8581.573300303999
2017,процент,7668.545003758431
2014,процент,1628.10237
2015,процент,1396.7453
2016,процент,1356.7825699999999
2017,процент,1201.6102
2014,процент,94.37473000000001
2015,процент,-30.900720000000003
2016,процент,149.599
2017,процент,85.52842999999999
2014,процент,71.12025000000003
2015,процент,31.702079999999995
2016,процент,304.23569
2017,процент,461.7872
2014,процент,335.15974
2015,процент,14.408630000000016
2016,процент,358.09765000000004
2017,процент,-120.26878000000002
2014,процент,359.0434199999999
2015,процент,169.21308
2016,процент,206.78115
2017,процент,99.29908
2014,процент,1609.3645399999998
2015,процент,227.04215999999997
2016,процент,450.22522999999995
2017,процент,623.1418600000001
2014,процент,346.91643
2015,процент,792.7140300000001
2016,процент,472.41042
2017,процент,593.76484
2014,процент,6.72221
2015,процент,-13.480789999999999
2016,процент,2.53991
2017,процент,18.01179
2014,процент,128.76013
2015,процент,170.42156
2016,процент,207.98847999999998
2017,процент,151.40365999999997
2014,процент,2638.50016
2015,процент,1796.1106
2016,процент,2458.5033
2017,процент,2927.62632
2014,процент,676.06448
2015,процент,424.00141
2016,процент,208.08627
2017,процент,583.74077
2014,процент,4949.19033069387
2015,процент,2742.5318019381402
2016,процент,4671.06978765747
2017,процент,4015.9699250211615
2014,процент,105.50489999999999
2015,процент,113.20858999999996
2016,процент,64.22973999999999
2017,процент,340.90842
