Year,Units,Регионы,Пол,Местность,Возраст,GeoCode,Value
2010,процент,,,,,,7.0
2011,процент,,,,,,6.5
2012,процент,,,,,,6.4
2013,процент,,,,,,6.4
2014,процент,,,,,,6.3
2015,процент,,,,,,6.6
2016,процент,,,,,,6.6
2017,процент,,,,,,6.8
2018,процент,,,,,,6.7
2010,процент,Акмолинская,,,,KZ03,7.3
2011,процент,Акмолинская,,,,KZ03,7.3
2012,процент,Акмолинская,,,,KZ03,7.2
2013,процент,Акмолинская,,,,KZ03,7.3
2014,процент,Акмолинская,,,,KZ03,7.0
2015,процент,Акмолинская,,,,KZ03,7.3
2016,процент,Акмолинская,,,,KZ03,7.4
2017,процент,Акмолинская,,,,KZ03,7.7
2018,процент,Акмолинская,,,,KZ03,7.8
2010,процент,Актюбинская,,,,KZ04,5.7
2011,процент,Актюбинская,,,,KZ04,5.5
2012,процент,Актюбинская,,,,KZ04,5.4
2013,процент,Актюбинская,,,,KZ04,5.7
2014,процент,Актюбинская,,,,KZ04,6.2
2015,процент,Актюбинская,,,,KZ04,6.2
2016,процент,Актюбинская,,,,KZ04,7.1
2017,процент,Актюбинская,,,,KZ04,7.1
2018,процент,Актюбинская,,,,KZ04,7.0
2010,процент,Алматинская,,,,KZ01,4.5
2011,процент,Алматинская,,,,KZ01,3.8
2012,процент,Алматинская,,,,KZ01,3.6
2013,процент,Алматинская,,,,KZ01,3.4
2014,процент,Алматинская,,,,KZ01,4.0
2015,процент,Алматинская,,,,KZ01,4.6
2016,процент,Алматинская,,,,KZ01,4.5
2017,процент,Алматинская,,,,KZ01,5.5
2018,процент,Алматинская,,,,KZ01,5.3
2010,процент,Атырауская,,,,KZ06,3.9
2011,процент,Атырауская,,,,KZ06,3.7
2012,процент,Атырауская,,,,KZ06,5.4
2013,процент,Атырауская,,,,KZ06,6.0
2014,процент,Атырауская,,,,KZ06,3.8
2015,процент,Атырауская,,,,KZ06,5.1
2016,процент,Атырауская,,,,KZ06,4.3
2017,процент,Атырауская,,,,KZ06,3.9
2018,процент,Атырауская,,,,KZ06,3.9
2010,процент,Западно-Казахстанская,,,,KZ07,3.3
2011,процент,Западно-Казахстанская,,,,KZ07,3.6
2012,процент,Западно-Казахстанская,,,,KZ07,3.8
2013,процент,Западно-Казахстанская,,,,KZ07,4.2
2014,процент,Западно-Казахстанская,,,,KZ07,4.7
2015,процент,Западно-Казахстанская,,,,KZ07,4.5
2016,процент,Западно-Казахстанская,,,,KZ07,5.3
2017,процент,Западно-Казахстанская,,,,KZ07,5.1
2018,процент,Западно-Казахстанская,,,,KZ07,5.2
2010,процент,Жамбылская,,,,KZ17,4.4
2011,процент,Жамбылская,,,,KZ17,4.3
2012,процент,Жамбылская,,,,KZ17,4.5
2013,процент,Жамбылская,,,,KZ17,3.5
2014,процент,Жамбылская,,,,KZ17,3.2
2015,процент,Жамбылская,,,,KZ17,3.4
2016,процент,Жамбылская,,,,KZ17,3.9
2017,процент,Жамбылская,,,,KZ17,5.0
2018,процент,Жамбылская,,,,KZ17,4.9
