Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 100 000 населения,Республика Казахстан,,,,,,,0.59429457601432
2011,на 100 000 населения,Республика Казахстан,,,,,,,0.8032758677025179
2012,на 100 000 населения,Республика Казахстан,,,,,,,0.4287733348721533
2013,на 100 000 населения,Республика Казахстан,,,,,,,0.44025581798063457
2014,на 100 000 населения,Республика Казахстан,,,,,,,0.3701928791664413
2015,на 100 000 населения,Республика Казахстан,,,,,,,0.541532523360288
2016,на 100 000 населения,Республика Казахстан,,,,,,,0.6968619575470572
2017,на 100 000 населения,Республика Казахстан,,,,,,,0.9036590763739388
2018,на 100 000 населения,Республика Казахстан,,,,,,,0.83
2010,на 100 000 населения,Акмолинская,,,,,,KZ03,0.13620118549511853
2011,на 100 000 населения,Акмолинская,,,,,,KZ03,0.4096457929377065
2012,на 100 000 населения,Акмолинская,,,,,,KZ03,0.2731926937345988
2013,на 100 000 населения,Акмолинская,,,,,,KZ03,0.9534316730001772
2014,на 100 000 населения,Акмолинская,,,,,,KZ03,0.27170738201786204
2015,на 100 000 населения,Акмолинская,,,,,,KZ03,0.5401828518953666
2016,на 100 000 населения,Акмолинская,,,,,,KZ03,0.8114753433216932
2017,на 100 000 населения,Акмолинская,,,,,,KZ03,1.0859885754001868
2018,на 100 000 населения,Акмолинская,,,,,,KZ03,1.08
2010,на 100 000 населения,Актюбинская,,,,,,KZ04,0.12977810539539494
2011,на 100 000 населения,Актюбинская,,,,,,KZ04,0.2557721377179498
2012,на 100 000 населения,Актюбинская,,,,,,KZ04,0.12640147636924398
2013,на 100 000 населения,Актюбинская,,,,,,KZ04,0.12462177291919024
2014,на 100 000 населения,Актюбинская,,,,,,KZ04,0.0
2015,на 100 000 населения,Актюбинская,,,,,,KZ04,0.12067355149502465
2016,на 100 000 населения,Актюбинская,,,,,,KZ04,0.0
2017,на 100 000 населения,Актюбинская,,,,,,KZ04,0.2348258472810102
2018,на 100 000 населения,Актюбинская,,,,,,KZ04,0.23
2010,на 100 000 населения,Алматинская,,,,,,KZ01,0.8627648485874653
2011,на 100 000 населения,Алматинская,,,,,,KZ01,2.485700610583267
2012,на 100 000 населения,Алматинская,,,,,,KZ01,0.05187238563176416
2013,на 100 000 населения,Алматинская,,,,,,KZ01,0.1017448219516488
2014,на 100 000 населения,Алматинская,,,,,,KZ01,0.20226895196870895
2015,на 100 000 населения,Алматинская,,,,,,KZ01,0.2584353291432352
2016,на 100 000 населения,Алматинская,,,,,,KZ01,0.20350972878258447
2017,на 100 000 населения,Алматинская,,,,,,KZ01,0.1999629068807736
2018,на 100 000 населения,Алматинская,,,,,,KZ01,0.3
2010,на 100 000 населения,Атырауская,,,,,,KZ06,0.1899299158610473
2011,на 100 000 населения,Атырауская,,,,,,KZ06,0.5581436885111702
2012,на 100 000 населения,Атырауская,,,,,,KZ06,0.7284926212803622
2013,на 100 000 населения,Атырауская,,,,,,KZ06,0.17808963251204332
