Year,Observation status,Sex,Unit measure,Unit multiplier,Value
2007,Normal value,,"Per 100,000 population",Units,12.090992
2008,Normal value,,"Per 100,000 population",Units,10.585236
2009,Normal value,,"Per 100,000 population",Units,10.866987
2010,Normal value,,"Per 100,000 population",Units,9.159392
2011,Normal value,,"Per 100,000 population",Units,9.955113
2012,Normal value,,"Per 100,000 population",Units,10.075772
2013,Normal value,,"Per 100,000 population",Units,8
2014,Normal value,,"Per 100,000 population",Units,7.5
2015,Normal value,,"Per 100,000 population",Units,5.9
2016,Normal value,,"Per 100,000 population",Units,6
2017,Normal value,,"Per 100,000 population",Units,5.3
2018,Normal value,,"Per 100,000 population",Units,5.139872
2007,Normal value,Female,"Per 100,000 population",Units,10.26386
2008,Normal value,Female,"Per 100,000 population",Units,8.088592
2009,Normal value,Female,"Per 100,000 population",Units,7.22507
2010,Normal value,Female,"Per 100,000 population",Units,6.597241
2011,Normal value,Female,"Per 100,000 population",Units,7.700463
2012,Normal value,Female,"Per 100,000 population",Units,7.084345
2013,Normal value,Female,"Per 100,000 population",Units,6.4
2014,Normal value,Female,"Per 100,000 population",Units,5.5
2015,Normal value,Female,"Per 100,000 population",Units,4.2
2016,Normal value,Female,"Per 100,000 population",Units,4.5
2017,Normal value,Female,"Per 100,000 population",Units,4.3
2018,Normal value,Female,"Per 100,000 population",Units,3.54522
2007,Normal value,Male,"Per 100,000 population",Units,13.967856
2008,Normal value,Male,"Per 100,000 population",Units,13.149996
2009,Normal value,Male,"Per 100,000 population",Units,14.604805
2010,Normal value,Male,"Per 100,000 population",Units,11.787756
2011,Normal value,Male,"Per 100,000 population",Units,12.267172
2012,Normal value,Male,"Per 100,000 population",Units,13.139518
2013,Normal value,Male,"Per 100,000 population",Units,9.5
2014,Normal value,Male,"Per 100,000 population",Units,9.5
2015,Normal value,Male,"Per 100,000 population",Units,7.5
2016,Normal value,Male,"Per 100,000 population",Units,7.5
2017,Normal value,Male,"Per 100,000 population",Units,6.2
2018,Normal value,Male,"Per 100,000 population",Units,6.760797
2007,Normal value,,"Per 100,000 population",Units,20.180533
2008,Normal value,,"Per 100,000 population",Units,20.012808
2009,Normal value,,"Per 100,000 population",Units,11.615832
2010,Normal value,,"Per 100,000 population",Units,4.57193
2011,Normal value,,"Per 100,000 population",Units,11.68605
2012,Normal value,,"Per 100,000 population",Units,8.592769
2013,Normal value,,"Per 100,000 population",Units,7.1
