Year,Units,преступления,Value
2013,,,1.28
2014,,,0.99
2015,,,1.17
2016,,,1.29
2017,,,1.6
2010,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.03
2011,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.02
2012,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.02
2013,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.04
2014,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.02
2015,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.04
2016,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.05
2017,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.05
2018,,"Доля преступлений, совершенных в составе организованной преступной группой (ОПГ) от общего количества уголовных преступлений",0.04
