Year,Units,Value
2010,на 1000 неинфицированных,0.12
2011,на 1000 неинфицированных,0.12
2012,на 1000 неинфицированных,0.12
2013,на 1000 неинфицированных,0.12
2014,на 1000 неинфицированных,0.13
2015,на 1000 неинфицированных,0.14
2016,на 1000 неинфицированных,0.16
2017,на 1000 неинфицированных,0.16
2018,на 1000 неинфицированных,0.17
2010,человек,1043.0
2011,человек,877.0
2012,человек,769.0
2013,человек,656.0
2014,человек,701.0
2015,человек,768.0
2016,человек,810.0
2017,человек,834.0
2018,человек,877.0
