Year,Units,Местность,Value
2010,на 100 000 человек,,95.3
2011,на 100 000 человек,,86.6
2012,на 100 000 человек,,81.7
2013,на 100 000 человек,,73.4
2014,на 100 000 человек,,66.4
2015,на 100 000 человек,,58.5
2016,на 100 000 человек,,52.7
2017,на 100 000 человек,,52.2
2018,на 100 000 человек,,48.2
2010,на 100 000 человек,городское население,107.3
2011,на 100 000 человек,городское население,97.1
2012,на 100 000 человек,городское население,91.0
2013,на 100 000 человек,городское население,85.9
2014,на 100 000 человек,городское население,78.6
2015,на 100 000 человек,городское население,63.2
2016,на 100 000 человек,городское население,55.6
2017,на 100 000 человек,городское население,54.4
2018,на 100 000 человек,городское население,50.22440672301683
2010,на 100 000 человек,сельское население,81.1
2011,на 100 000 человек,сельское население,74.0
2012,на 100 000 человек,сельское население,70.4
2013,на 100 000 человек,сельское население,61.2
2014,на 100 000 человек,сельское население,50.6
2015,на 100 000 человек,сельское население,52.1
2016,на 100 000 человек,сельское население,48.9
2017,на 100 000 человек,сельское население,49.2
2018,на 100 000 человек,сельское население,45.31521836735146
