Year,Units,Местность,Value
2011,процент,городская местность,82.0
2012,процент,городская местность,84.0
2013,процент,городская местность,85.0
2014,процент,городская местность,86.0
2015,процент,городская местность,87.0
2016,процент,городская местность,88.0
2017,процент,городская местность,93.8
2018,процент,городская местность,94.5
2011,процент,сельская местность,42.5
2012,процент,сельская местность,43.0
2013,процент,сельская местность,47.7
2014,процент,сельская местность,50.3
2015,процент,сельская местность,51.5
2016,процент,сельская местность,52.3
2017,процент,сельская местность,57.4
2018,процент,сельская местность,59.9
